Module,File path,Related route,File type,Hard-coded literal count,Shared translation usage,Translation mechanism,Current status,Last recheck,Remaining notes
admin-governance,src/modules/admin-governance/module.tsx,,Support,4,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Admin audit; Administrative user; Administrative users; Governance
admin-governance,src/modules/admin-governance/pages/AdminAuditPage.tsx,/admin/audit,Page,19,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"A unified read-only timeline for role governance, catalog moderation and onboarding decisions.; Action; Action, actor, entity or reason; Actor; Administration audit center; All sources"
admin-governance,src/modules/admin-governance/pages/AdminGovernancePage.tsx,/admin/governance,Page,22,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,30-day administration evidence; A reason is mandatory for every role change.; A superadmin cannot remove their own SUPERADMIN role.; Active users; Admin users; Administration governance
admin-governance,src/modules/admin-governance/pages/AdminGovernanceUserPage.tsx,/admin/governance/users/:userId,Page,21,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,All current roles; Assign; Assign administrative role; Back to users; Email; LSevin identity
admin-governance,src/modules/admin-governance/pages/AdminGovernanceUsersPage.tsx,/admin/governance/users,Page,24,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Action; Active; Admin users; Administrative users; All roles; All user states
arrival-checkin-studio,src/modules/arrival-checkin-studio/api.ts,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Check-in response could not be submitted.; Check-in visit was not found or access is invalid.; Check-in workspace could not be created.
arrival-checkin-studio,src/modules/arrival-checkin-studio/module.tsx,,Support,9,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"(""arrival_checkin.create_visit"",async(request:ModuleCapabilityRequest; Arrival & Check-in; Arrival & Check-in Admin; Arrival check-in workspace created.; Check In; Check-in activity added."
arrival-checkin-studio,src/modules/arrival-checkin-studio/pages/AdminPage.tsx,/admin/arrival-checkin,Page,13,Yes,"getPortalLocale, i18n",Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Arrival & Check-in Administration; Moderate provider policies and supervise overdue arrivals, blocked readiness, identity review, long waits, late customers, and no-shows.; No profiles require review.; No templates require review.; No visits require supervision."
arrival-checkin-studio,src/modules/arrival-checkin-studio/pages/ProviderPage.tsx,/providers/:providerId/arrival-checkin,Page,53,Yes,"getPortalLocale, LocaleSelect, i18n",Needs conversion,2026-07-17T01:37:41.492869+00:00,;searchParams:Record; Accessibility needs; Active; Add task; Add update; Additional task
arrival-checkin-studio,src/modules/arrival-checkin-studio/pages/PublicCheckinPage.tsx,/providers/:providerId/check-in,Page,30,Yes,"getPortalLocale, LocaleSelect, i18n",Needs conversion,2026-07-17T01:37:41.492869+00:00,;searchParams:Record; Accessibility needs; Arrival question or note; Cancel arrival; Check in now; Companion details
audience-growth,src/modules/audience-growth/module.tsx,,Support,2,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Audience Growth; Provider Campaigns
audience-growth,src/modules/audience-growth/pages/AdminPage.tsx,/admin/audience-growth,Page,11,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,"Approve; Audience Growth Admin; Campaign moderation queue; Campaigns sent; Moderate provider campaigns, supervise audience segmentation, and make sure LSevin notification traffic stays useful instead of becoming spam.; Moderation note"
audience-growth,src/modules/audience-growth/pages/ProviderPage.tsx,/providers/:providerId/audience-growth,Page,50,Yes,"getPortalLocale, i18n",Needs conversion,2026-07-17T01:37:41.492869+00:00,Active segments; All subscribed contacts; Announcement; Any; Audience contacts; Book consultation
audience-growth,src/modules/audience-growth/pages/PublicCampaignsPage.tsx,/providers/:providerId/campaigns,Page,9,Yes,"getPortalLocale, i18n",Needs conversion,2026-07-17T01:37:41.492869+00:00,Email; In-app; Mute temporarily; Phone; Preference; Preferred channel
availability,src/modules/availability/components/AvailabilityManager.tsx,,Component,9,Yes,"LocalizedField, i18n",Needs conversion,2026-07-17T01:37:41.492869+00:00,Bed; Description; Equipment; Generic; Room; Seat
availability,src/modules/availability/module.tsx,,Support,1,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Availability
availability,src/modules/availability/pages/AdminAvailabilityPage.tsx,/admin/availability,Page,39,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Active; Active but unavailable; Active resources; Active rules; Admin control center; All statuses
booking-management,src/modules/booking-management/module.tsx,,Support,3,No,,Needs conversion,2026-07-17T01:37:41.492869+00:00,Booking Management; Booking Operations; My Assigned Bookings
