module_id,file_path,file_kind,routes,literal_count,ui_text_count,translation_mechanism,status,last_rechecked_batch,notes
admin-governance,src/modules/admin-governance/actions.ts,actions,,2,0,none detected,Needs work,Batch 63,Unsupported administrative role. | A reason of at least five characters is required.
admin-governance,src/modules/admin-governance/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
admin-governance,src/modules/admin-governance/pages/AdminAuditPage.tsx,page,admin:/admin/audit,10,10,shared UiText,Needs work,Batch 63,"Administration audit center | A unified read-only timeline for role governance, catalog moderation and onboarding decisions. | Action, actor, entity or reason | No matching administration events | Apply the migrations and perform an onboarding, catalog or role-governance action first. | All sources | Role governance | Catalog administration"
admin-governance,src/modules/admin-governance/pages/AdminGovernancePage.tsx,page,admin:/admin/governance,11,11,shared UiText,Needs work,Batch 63,"Administration governance | Manage the LSevin administration model, inspect privileged-user coverage and review recent role changes. | Active users | Admin users | Superadmins | Administrators | Scoped admins | Role changes · 30d"
admin-governance,src/modules/admin-governance/pages/AdminGovernanceUserPage.tsx,page,admin:/admin/governance/users/:userId,10,13,shared UiText,Needs work,Batch 63,"SUPERADMIN-only role assignment with mandatory reasons, immutable audit history and last-superadmin protection. | User ID | Email | Phone | State | Last login | Provider memberships | Why this access is needed"
admin-governance,src/modules/admin-governance/pages/AdminGovernanceUsersPage.tsx,page,admin:/admin/governance/users,14,10,shared UiText,Needs work,Batch 63,"Administrative users | Search LSevin identities, inspect effective roles and open a user to assign or revoke scoped administration access. | Users | Admin users | Superadmins | Scoped admins | Name, email, phone or user ID | No matching users"
admin-governance,src/modules/admin-governance/pages/AdminModulesPage.tsx,page,admin:/admin/modules,17,30,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Module management | Review every registered Providers Portal module, see its purpose and complete page inventory, and enable or disable it without deleting code, data or migrations. | Registered modules | Enabled modules | Disabled modules | Protected modules | Search module, page, route, schema or description | What this module does"
reporting-analytics,src/modules/reporting-analytics/actions.ts,actions,,0,0,none detected,Rechecked,Batch 63,
reporting-analytics,src/modules/reporting-analytics/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
reporting-analytics,src/modules/reporting-analytics/pages/AdminPage.tsx,page,admin:/admin/analytics,8,10,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Analytics & Reports | Administration dashboard for supply, bookings, payments, reviews, tickets and export snapshots. | Report | Snapshot | Format | Administration dashboard | Platform monthly operations | Select snapshot"
reporting-analytics,src/modules/reporting-analytics/pages/ProviderPage.tsx,page,provider:/providers/:providerId/analytics,5,11,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Provider Analytics | Operational dashboard for profile views, bookings, paid bookings, reviews, tickets and invoices. | Report | Provider dashboard | Monthly operations"
booking-management,src/modules/booking-management/actions.ts,actions,,0,0,none detected,Rechecked,Batch 63,
booking-management,src/modules/booking-management/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
booking-management,src/modules/booking-management/pages/AdminPage.tsx,page,admin:/admin/booking-management,0,0,"module dictionary, active locale",Rechecked,Batch 63,
booking-management,src/modules/booking-management/pages/ProviderPage.tsx,page,provider:/providers/:providerId/booking-management,0,0,"module dictionary, active locale",Rechecked,Batch 63,
booking-management,src/modules/booking-management/pages/StaffBookingsPage.tsx,page,portal:/staff/:staffId/bookings,0,0,"module dictionary, active locale",Rechecked,Batch 63,
media-library,src/modules/media-library/actions.ts,actions,,2,0,none detected,Needs work,Batch 63,A provider-owned media file is required. | A reason is required when rejecting or hiding media.
media-library,src/modules/media-library/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
media-library,src/modules/media-library/pages/AdminPage.tsx,page,admin:/admin/media-library,7,6,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Global Media Library | Moderate provider-owned media before it reaches public provider, service and staff pages. | Decision | Reason | Approve | Reject | Hide"
media-library,src/modules/media-library/pages/ProviderPage.tsx,page,provider:/providers/:providerId/media-library,18,10,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Provider Media Library | Select provider-owned media, localize titles and alt text, attach it to provider, service or staff pages, and keep public visibility behind approval. | Provider media | Media title | Alternative text | Attach to | Owner | Provider services"
reviews-standalone,src/modules/reviews-standalone/actions.ts,actions,,1,0,"module dictionary, active locale",Needs work,Batch 63,A reason is required when rejecting or hiding content.
reviews-standalone,src/modules/reviews-standalone/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
reviews-standalone,src/modules/reviews-standalone/pages/AdminPage.tsx,page,admin:/admin/reviews,8,11,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Decision | Reason | Reviews Moderation | Moderate reviews and provider replies before they are visible on LSevin public provider, service and staff pages. | Promise | Approve | Reject | Hide"
reviews-standalone,src/modules/reviews-standalone/pages/ProviderPage.tsx,page,provider:/providers/:providerId/reputation,4,11,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Reviews & Reputation | See provider, staff and service reviews, reply publicly, and track moderation state before replies reach the public front. | Review | Public reply after moderation"
ticketing,src/modules/ticketing/actions.ts,actions,,0,0,"module dictionary, active locale",Rechecked,Batch 63,
ticketing,src/modules/ticketing/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
ticketing,src/modules/ticketing/pages/AdminPage.tsx,page,admin:/admin/tickets,18,15,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Ticketing Inbox | LSevin support board with assignment, status, private attachments, internal notes, provider replies, and SLA visibility. | Ticket | Reply/internal note | Private attachment | Assignee | Status | Priority"
ticketing,src/modules/ticketing/pages/ProviderPage.tsx,page,provider:/providers/:providerId/tickets,18,12,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Provider Tickets | Provider–LSevin support conversation trail with private attachments, priority, unread counts, and SLA visibility. | Subject | Department | Priority | Message | Private attachment | Ticket"
pricing-plans,src/modules/pricing-plans/actions.ts,actions,,1,0,"module dictionary, active locale",Needs work,Batch 63,This plan is free and does not require an invoice.
pricing-plans,src/modules/pricing-plans/module.tsx,module_manifest,,0,0,none detected,Rechecked,Batch 63,
pricing-plans,src/modules/pricing-plans/pages/AdminPage.tsx,page,admin:/admin/pricing-plans,6,17,"module dictionary, shared UiText, active locale",Needs work,Batch 63,"Pricing Plans & Entitlements | Standalone plan/entitlement module integrated with PaymentBilling for subscription, profile ownership, and plan invoices. | Provider | Plan | Currency | Due date"
